country_ch,country_en,cases,deaths
美國,United States,"33,672,509","614,243"
印度,India,"30,082,778","391,981"
巴西,Brazil,"18,243,483","509,141"
法國,France,"5,764,329","110,935"
土耳其,Turkey,"5,393,248","49,417"
俄羅斯,Russia,"5,388,695","131,463"
英國,United Kingdom,"4,684,572","128,048"
阿根廷,Argentina,"4,350,564","91,438"
義大利,Italy,"4,255,700","127,362"
哥倫比亞,Colombia,"4,060,013","102,636"
西班牙,Spain,"3,777,539","80,766"
德國,Germany,"3,724,806","90,616"
伊朗,Iran,"3,140,129","83,473"
波蘭,Poland,"2,879,336","74,917"
墨西哥,Mexico,"2,487,747","231,847"
烏克蘭,Ukraine,"2,231,914","52,181"
印尼,Indonesia,"2,053,995","55,949"
秘魯,Peru,"2,036,449","191,073"
南非,South Africa,"1,877,143","59,406"
荷蘭,Netherlands,"1,681,580","17,735"
捷克,Czech Republic,"1,666,521","30,291"
智利,Chile,"1,531,872","31,797"
加拿大,Canada,"1,410,927","26,175"
菲律賓,Philippines,"1,378,260","24,036"
伊拉克,Iraq,"1,311,093","16,999"
瑞典,Sweden,"1,088,896","14,584"
比利時,Belgium,"1,081,061","25,149"
羅馬尼亞,Romania,"1,080,457","32,771"
巴基斯坦,Pakistan,"951,865","22,108"
孟加拉,Bangladesh,"872,935","13,868"
葡萄牙,Portugal,"869,879","17,079"
以色列,Israel,"840,430","6,429"
匈牙利,Hungary,"807,844","29,972"
日本,Japan,"790,987","14,605"
約旦,Jordan,"748,685","9,703"
馬來西亞,Malaysia,"716,847","4,721"
塞爾維亞,Serbia,"716,096","7,019"
瑞士,Switzerland,"702,398","10,341"
奧地利,Austria,"649,922","10,697"
尼泊爾,Nepal,"629,431","8,918"
阿拉伯聯合大公國,UAE,"620,309","1,775"
黎巴嫩,Lebanon,"544,002","7,835"
摩洛哥,Morocco,"528,180","9,265"
沙烏地阿拉伯,Saudi Arabia,"479,390","7,730"
厄瓜多,Ecuador,"449,483","21,377"
玻利維亞,Bolivia,"426,748","16,329"
保加利亞,Bulgaria,"421,401","18,022"
希臘,Greece,"419,909","12,604"
哈薩克,Kazakhstan,"413,267","4,268"
白俄羅斯,Belarus,"413,139","3,082"
巴拉圭,Paraguay,"411,615","11,973"
巴拿馬,Panama,"396,526","6,491"
突尼西亞,Tunisia,"395,362","14,406"
斯洛伐克,Slovakia,"391,456","12,502"
烏拉圭,Uruguay,"361,994","5,413"
喬治亞,Georgia,"361,484","5,228"
克羅埃西亞,Croatia,"359,403","8,192"
哥斯大黎加,Costa Rica,"359,266","4,581"
科威特,Kuwait,"346,560","1,903"
巴勒斯坦,Palestine,"342,206","3,823"
亞塞拜然,Azerbaijan,"335,676","4,965"
多明尼加,Dominican,"320,136","3,781"
丹麥,Denmark,"293,172","2,532"
瓜地馬拉,Guatemala,"286,708","8,894"
埃及,Egypt,"279,184","16,002"
立陶宛,Lithuania,"278,590","4,375"
衣索比亞,Ethiopia,"275,601","4,296"
愛爾蘭,Ireland,"270,097","4,989"
委內瑞拉,Venezuela,"264,551","3,007"
巴林,Bahrain,"264,405","1,334"
斯洛維尼亞,Slovenia,"257,164","4,417"
阿曼,Oman,"256,542","2,848"
摩爾多瓦,Moldova,"256,387","6,180"
宏都拉斯,Honduras,"255,663","6,844"
斯里蘭卡,Sri Lanka,"248,050","2,814"
泰國,Thailand,"232,647","1,775"
亞美尼亞,Armenia,"224,533","4,505"
卡達,Qatar,"221,378",587
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"204,936","9,653"
利比亞,Libya,"191,660","3,185"
肯亞,Kenya,"181,239","3,538"
古巴,Cuba,"174,789","1,209"
奈及利亞,Nigeria,"167,401","2,118"
北馬其頓,North Macedonia,"155,655","5,481"
韓國,South Korea,"153,155","2,008"
緬甸,Myanmar,"150,714","3,275"
尚比亞,Zambia,"140,620","1,855"
阿爾及利亞,Algeria,"137,403","3,669"
拉脫維亞,Latvia,"137,110","2,500"
阿爾巴尼亞,Albania,"132,499","2,455"
愛沙尼亞,Estonia,"130,898","1,269"
挪威,Norway,"130,270",792
吉爾吉斯,Kyrgyzstan,"118,106","1,958"
阿富汗,Afghanistan,"111,592","4,519"
烏茲別克,Uzbekistan,"107,708",723
科索沃,Kosovo,"107,707","2,256"
蒙古,Mongolia,"102,629",482
蒙特內哥羅,Montenegro,"100,131","1,609"
迦納,Ghana,"95,259",794
芬蘭,Finland,"94,719",969
中國大陸,China,"91,693","4,636"
喀麥隆,Cameroon,"80,487","1,320"
納米比亞,Namibia,"78,723","1,279"
薩爾瓦多,El Salvador,"77,484","2,351"
烏干達,Uganda,"75,537",781
賽普勒斯,Cyprus,"74,174",374
莫三比克,Mozambique,"73,652",863
馬爾地夫,Maldives,"72,678",207
盧森堡,Luxembourg,"70,586",818
波札那,Botswana,"67,492","1,095"
新加坡,Singapore,"62,493",35
牙買加,Jamaica,"49,841","1,049"
象牙海岸,Ivory Coast,"48,058",309
柬埔寨,Cambodia,"45,366",493
辛巴威,Zimbabwe,"44,306","1,709"
塞內加爾,Senegal,"42,677","1,159"
馬達加斯加,Madagascar,"42,166",905
剛果民主共和國,DR Congo,"38,936",896
安哥拉,Angola,"38,091",881
蘇丹,Sudan,"36,558","2,750"
馬拉威,Malawi,"35,219","1,178"
盧安達,Rwanda,"34,143",402
維德角,Cape Verde,"32,257",285
千里達及托巴哥,Trinidad and Tobago,"31,429",775
馬爾他,Malta,"30,598",420
澳洲,Australia,"30,404",910
敘利亞,Syria,"25,248","1,855"
加彭,Gabon,"24,958",159
幾內亞,Guinea,"23,579",168
蘇利南,Suriname,"20,549",482
茅利塔尼亞,Mauritania,"20,473",483
蓋亞那,Guyana,"19,234",452
史瓦帝尼,Eswatini,"18,898",677
海地,Haiti,"17,902",398
巴布亞紐幾內亞,Papua New Guinea,"17,079",173
塞席爾,Seychelles,"14,620",59
馬利,Mali,"14,391",525
臺灣,Taiwan,"14,389",605
越南,Vietnam,"14,232",72
安道爾,Andorra,"13,877",127
多哥,Togo,"13,749",128
塔吉克,Tajikistan,"13,746",91
布吉納法索,Burkina Faso,"13,473",168
貝里斯,Belize,"13,083",329
巴哈馬,Bahamas,"12,407",244
剛果共和國,Congo,"12,404",164
香港,Hong Kong,"11,906",210
吉布地,Djibouti,"11,597",155
索馬利亞,Somalia,"11,475",498
賴索托,Lesotho,"11,168",329
南蘇丹,South Sudan,"10,786",115
東帝汶,East Timor,"8,889",20
赤道幾內亞,Equatorial Guinea,"8,708",120
貝南,Benin,"8,170",104
中非,Central Africa,"7,139",98
葉門,Yemen,"6,905","1,356"
冰島,Iceland,"6,630",30
尼加拉瓜,Nicaragua,"6,402",190
甘比亞,Gambia,"6,045",181
厄利垂亞,Eritrea,"5,603",21
尼日,Niger,"5,475",193
蒲隆地,Burundi,"5,300",8
聖露西亞,Saint Lucia,"5,238",84
聖馬利諾,San Marino,"5,090",90
獅子山,Sierra Leone,"4,963",84
查德,Chad,"4,951",174
索馬利蘭,Somaliland,"4,608",311
巴貝多,Barbados,"4,052",47
葛摩,Comoros,"3,912",146
幾內亞比索,Guinea-Bissau,"3,839",69
賴比瑞亞,Liberia,"3,265",110
列支敦斯登,Liechtenstein,"3,031",59
斐濟,Fiji,"2,848",13
摩納哥,Monaco,"2,557",33
紐西蘭,New Zealand,"2,367",26
聖多美普林西比,Sao Tome and Principe,"2,364",37
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"2,207",12
寮國,Laos,"2,080",3
不丹,Bhutan,"2,006",1
模里西斯,Mauritius,"1,817",18
安地卡及巴布達,Antigua and Barbuda,"1,263",42
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
坦尚尼亞,Tanzania,509,21
聖克里斯多福及尼維斯,Saint Kitts and Nevis,396,3
汶萊,Brunei,256,3
多米尼克,Dominica,192,0
格瑞那達,Grenada,161,1
澳門,Macao,53,0
教廷,Holy See,27,0
索羅門群島,Solomon islands,20,0
萬那杜,Vanuatu,4,1
馬紹爾群島,Marshall Islands,4,0
薩摩亞,Samoa,3,0
帛琉,Palau,2,0
密克羅尼西亞聯邦,Micronesia,1,0
